region,nuts_id,level,year,month,path,green_pct,brown_pct,index,country
FRI_Nouvelle-Aquitaine,FRI,1,2025,12,output/FRI_Nouvelle-Aquitaine/2025/FRI_Nouvelle-Aquitaine_2025-12-01.png,36.84893217452068,12.764991046862034,24.08394112765864,FR
FRI_Nouvelle-Aquitaine,FRI,1,2025,10,output/FRI_Nouvelle-Aquitaine/2025/FRI_Nouvelle-Aquitaine_2025-10-01.png,38.06311009030642,15.857997946790555,22.205112143515862,FR
FRI_Nouvelle-Aquitaine,FRI,1,2025,2,output/FRI_Nouvelle-Aquitaine/2025/FRI_Nouvelle-Aquitaine_2025-02-01.png,31.8291350091516,25.67188549306717,6.1572495160844305,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,1,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-01-01.png,27.389887178307806,19.854141144315353,7.535746033992453,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,3,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-03-01.png,53.651538518996965,13.754619072099267,39.8969194468977,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,11,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-11-01.png,36.56955636234836,12.717169928274153,23.852386434074205,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,7,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-07-01.png,67.98185256541156,12.315662372484086,55.66619019292747,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,5,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-05-01.png,80.0055694792537,4.942180011432089,75.06338946782161,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,9,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-09-01.png,49.37549766806961,13.539756569218518,35.835741098851095,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,12,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-12-01.png,28.426031041934227,15.73355307855161,12.692477963382617,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,2,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-02-01.png,40.08941218130312,17.99442280453258,22.09498937677054,FR
FRI_Nouvelle-Aquitaine,FRI,1,2024,10,output/FRI_Nouvelle-Aquitaine/2024/FRI_Nouvelle-Aquitaine_2024-10-01.png,40.494097983913086,9.9407186879766,30.553379295936487,FR
